Flow,Month,Trade Value,Country
Imports,2007-09,828752,Estonia
Imports,2007-09,1959262,European_Community
Imports,2007-09,50335285,Finland
Imports,2007-09,346071252,France
Imports,2007-09,699233351,Germany
Imports,2007-09,3249854,Greece
Imports,2007-09,26536094,Hungary
Imports,2007-09,76955625,Ireland
Imports,2007-09,411580135,Italy
Imports,2007-09,141974,Latvia
Imports,2007-09,1349805,Lithuania
Imports,2007-09,8234867,Luxembourg
Imports,2007-09,10603345,Malta
Imports,2007-09,197988956,Netherlands
Imports,2007-09,35052728,Poland
Imports,2007-09,26281729,Portugal
Imports,2007-09,4602374,Romania
Imports,2007-09,6726955,Slovakia
Imports,2007-09,4521462,Slovenia
Imports,2007-09,324950756,Spain
Imports,2007-09,70795485,Sweden
Imports,2007-10,72381504,Austria
Imports,2007-10,77358312,Belgium
Imports,2007-10,1658158,Bulgary
Imports,2007-10,804408,Croatia
Imports,2007-10,15832,Cyprus
Imports,2007-10,31625013,Czech_Republic
Imports,2007-10,38090899,Denmark
Imports,2007-10,2229953,Estonia
Imports,2007-10,8077683,European_Community
Imports,2007-10,66981725,Finland
Imports,2007-10,270137679,France
Imports,2007-10,860354926,Germany
Imports,2007-10,3392600,Greece
Imports,2007-10,28357644,Hungary
Imports,2007-10,115638987,Ireland
Imports,2007-10,425634221,Italy
Imports,2007-10,270852,Latvia
Imports,2007-10,1036350,Lithuania
Imports,2007-10,6949661,Luxembourg
Imports,2007-10,8666508,Malta
Imports,2007-10,289784302,Netherlands
Imports,2007-10,24489702,Poland
Imports,2007-10,32265942,Portugal
Imports,2007-10,7822252,Romania
Imports,2007-10,8055212,Slovakia
Imports,2007-10,6568300,Slovenia
Imports,2007-10,319071107,Spain
Imports,2007-10,97440322,Sweden
Imports,2007-11,54654975,Austria
Imports,2007-11,69514626,Belgium
Imports,2007-11,2355150,Bulgary
Imports,2007-11,1060578,Croatia
Imports,2007-11,91431,Cyprus
Imports,2007-11,31047051,Czech_Republic
Imports,2007-11,26198960,Denmark
Imports,2007-11,7845241,Estonia
Imports,2007-11,1111273,European_Community
Imports,2007-11,55739560,Finland
Imports,2007-11,272789997,France
Imports,2007-11,782566868,Germany
Imports,2007-11,32005310,Greece
Imports,2007-11,24828165,Hungary
Imports,2007-11,83393332,Ireland
Imports,2007-11,357200157,Italy
Imports,2007-11,113022,Latvia
Imports,2007-11,973024,Lithuania
Imports,2007-11,6491875,Luxembourg
Imports,2007-11,31528584,Malta
Imports,2007-11,194127593,Netherlands
Imports,2007-11,22582492,Poland
Imports,2007-11,26829930,Portugal
Imports,2007-11,6016112,Romania
Imports,2007-11,9135171,Slovakia
Imports,2007-11,6469124,Slovenia
Imports,2007-11,325001206,Spain
Imports,2007-11,96438365,Sweden
Imports,2007-12,54513726,Austria
Imports,2007-12,54698685,Belgium
Imports,2007-12,3097506,Bulgary
Imports,2007-12,737347,Croatia
Imports,2007-12,45883,Cyprus
Imports,2007-12,29898339,Czech_Republic
Imports,2007-12,31142214,Denmark
Imports,2007-12,10609818,Estonia
Imports,2007-12,988354,European_Community
Imports,2007-12,45088299,Finland
Imports,2007-12,221491428,France
Imports,2007-12,709490827,Germany
Imports,2007-12,2767433,Greece
Imports,2007-12,26724215,Hungary
Imports,2007-12,65142001,Ireland
Imports,2007-12,497701248,Italy
Imports,2007-12,91189,Latvia
Imports,2007-12,1234571,Lithuania
Imports,2007-12,9748398,Luxembourg
Imports,2007-12,12041254,Malta
Imports,2007-12,315831044,Netherlands
Imports,2007-12,18558063,Poland
Imports,2007-12,24690947,Portugal
Imports,2007-12,31289095,Romania
Imports,2007-12,5804158,Slovakia
Imports,2007-12,4924531,Slovenia
Imports,2007-12,291077475,Spain
Imports,2007-12,73264432,Sweden
Imports,2008-01,57343427,Austria
Imports,2008-01,61011405,Belgium
Imports,2008-01,3323776,Bulgary
Imports,2008-01,1036010,Croatia
Imports,2008-01,6948,Cyprus
Imports,2008-01,31850019,Czech_Republic
Imports,2008-01,35199635,Denmark
Imports,2008-01,5910815,Estonia
Imports,2008-01,2137871,European_Community
Imports,2008-01,49453598,Finland
Imports,2008-01,294109971,France
Imports,2008-01,778522033,Germany
Imports,2008-01,11285490,Greece
Imports,2008-01,21261297,Hungary
Imports,2008-01,94958422,Ireland
Imports,2008-01,400131032,Italy
Imports,2008-01,145309,Latvia
Imports,2008-01,1190222,Lithuania
Imports,2008-01,4858911,Luxembourg
Imports,2008-01,9546557,Malta
Imports,2008-01,211772209,Netherlands
Imports,2008-01,18405065,Poland
Imports,2008-01,28657977,Portugal
Imports,2008-01,5686594,Romania
Imports,2008-01,6951862,Slovakia
Imports,2008-01,4819546,Slovenia
Imports,2008-01,342677254,Spain
Imports,2008-01,77534038,Sweden
Imports,2008-02,63773233,Austria
Imports,2008-02,63477389,Belgium
Imports,2008-02,2538323,Bulgary
Imports,2008-02,663490,Croatia
Imports,2008-02,14978,Cyprus
Imports,2008-02,30858129,Czech_Republic
Imports,2008-02,30886531,Denmark
Imports,2008-02,2423119,Estonia
Imports,2008-02,1367996,European_Community
Imports,2008-02,33573301,Finland
Imports,2008-02,248189993,France
Imports,2008-02,721984879,Germany
Imports,2008-02,64156516,Greece
Imports,2008-02,23868721,Hungary
Imports,2008-02,77714970,Ireland
Imports,2008-02,418462471,Italy
Imports,2008-02,116602,Latvia
Imports,2008-02,3224999,Lithuania
Imports,2008-02,4821528,Luxembourg
Imports,2008-02,7412316,Malta
Imports,2008-02,162887754,Netherlands
Imports,2008-02,19399282,Poland
Imports,2008-02,31569831,Portugal
Imports,2008-02,5319455,Romania
Imports,2008-02,6891321,Slovakia
Imports,2008-02,4783747,Slovenia
Imports,2008-02,322961975,Spain
Imports,2008-02,62808355,Sweden
Imports,2008-03,54867735,Austria
Imports,2008-03,55831094,Belgium
Imports,2008-03,1943574,Bulgary
Imports,2008-03,1041483,Croatia
Imports,2008-03,137378,Cyprus
Imports,2008-03,27364899,Czech_Republic
Imports,2008-03,28967953,Denmark
Imports,2008-03,959621,Estonia
Imports,2008-03,1190132,European_Community
Imports,2008-03,35778863,Finland
Imports,2008-03,292613434,France
Imports,2008-03,752562201,Germany
Imports,2008-03,1576977,Greece
Imports,2008-03,22779241,Hungary
Imports,2008-03,77884810,Ireland
Imports,2008-03,397087902,Italy
Imports,2008-03,25583,Latvia
Imports,2008-03,945216,Lithuania
Imports,2008-03,10442658,Luxembourg
Imports,2008-03,9101642,Malta
Imports,2008-03,137791746,Netherlands
Imports,2008-03,18529038,Poland
Imports,2008-03,49659365,Portugal
Imports,2008-03,5149250,Romania
Imports,2008-03,12877173,Slovakia
Imports,2008-03,6368038,Slovenia
Imports,2008-03,318278920,Spain
Imports,2008-03,71498388,Sweden
Imports,2008-04,73173446,Austria
Imports,2008-04,85350531,Belgium
Imports,2008-04,2030341,Bulgary
Imports,2008-04,702283,Croatia
Imports,2008-04,3803,Cyprus
Imports,2008-04,44592482,Czech_Republic
Imports,2008-04,25623452,Denmark
Imports,2008-04,2201393,Estonia
Imports,2008-04,32872797,European_Community
Imports,2008-04,39457241,Finland
Imports,2008-04,380830677,France
Imports,2008-04,972390234,Germany
Imports,2008-04,35975628,Greece
Imports,2008-04,26624104,Hungary
Imports,2008-04,84827333,Ireland
Imports,2008-04,434259675,Italy
Imports,2008-04,94971,Latvia
Imports,2008-04,897440,Lithuania
Imports,2008-04,6300217,Luxembourg
Imports,2008-04,9537482,Malta
Imports,2008-04,299909141,Netherlands
Imports,2008-04,27826213,Poland
Imports,2008-04,34551902,Portugal
Imports,2008-04,6303977,Romania
Imports,2008-04,8658986,Slovakia
